date,customer_id,account_type,product,calls_count,total_input_tokens,total_output_tokens,total_tokens,total_duration_ms,cost_usd,primary_model
2026-03-01,cust_01,free,api,32,30067,20919,50986,32673,1.13181,gpt-4.1
2026-03-01,cust_01,pro,api,29,32677,24883,57560,27703,1.44353,gpt-4.1
2026-03-01,cust_01,pro_plus,api,36,40480,26779,67259,39015,1.81765,gpt-4.1
2026-03-01,cust_02,free,api,33,37109,22147,59256,29490,1.16859,gpt-4.1
2026-03-01,cust_02,pro,api,39,41282,29885,71167,33662,2.35079,gpt-4.1
2026-03-01,cust_02,pro_plus,api,35,33193,29370,62563,35801,1.21825,gpt-4.1
2026-03-01,cust_03,free,api,32,36170,27580,63750,33648,1.74406,gpt-4.1
2026-03-01,cust_03,pro,api,30,33432,26757,60189,32257,1.9633200000000002,gpt-4.1
2026-03-01,cust_03,pro_plus,api,41,48928,25082,74010,42508,1.97945,gpt-4.1
2026-03-01,cust_04,free,api,28,28724,22080,50804,28811,1.68222,gpt-4.1
2026-03-01,cust_04,pro,api,36,32355,28323,60678,32362,2.02505,gpt-4.1
2026-03-01,cust_04,pro_plus,api,26,23206,24497,47703,25891,1.04949,gpt-4.1
2026-03-01,cust_05,free,api,29,32133,24104,56237,33721,1.8305600000000002,gpt-4.1
2026-03-01,cust_05,pro,api,41,47180,33261,80441,44266,1.85378,gpt-4.1
2026-03-01,cust_05,pro_plus,api,33,36430,23818,60248,36609,2.3752299999999997,gpt-4.1
2026-03-01,cust_06,free,api,26,24522,23599,48121,22117,1.83984,gpt-4.1
2026-03-01,cust_06,pro,api,25,28245,21112,49357,31225,1.32734,gpt-4.1
2026-03-01,cust_06,pro_plus,api,33,36615,26138,62753,36514,1.82341,gpt-4.1
2026-03-01,cust_07,free,api,40,38239,33572,71811,39929,2.17978,gpt-4.1
2026-03-01,cust_07,pro,api,30,36733,19855,56588,34474,1.2252100000000001,gpt-4.1
2026-03-01,cust_07,pro_plus,api,24,18905,23064,41969,23714,1.37512,gpt-4.1
2026-03-01,cust_08,free,api,44,46388,39650,86038,42906,2.56068,gpt-4.1
2026-03-01,cust_08,pro,api,30,28166,22139,50305,36464,0.86425,gpt-4.1
2026-03-01,cust_08,pro_plus,api,32,27815,27241,55056,33465,1.76947,gpt-4.1
2026-03-01,cust_09,free,api,31,28850,24791,53641,33157,1.11419,gpt-4.1
2026-03-01,cust_09,pro,api,26,22949,19707,42656,25371,1.5082,gpt-4.1
2026-03-01,cust_09,pro_plus,api,43,44240,31074,75314,41940,1.95595,gpt-4.1
2026-03-01,cust_10,free,api,28,23613,17783,41396,26251,1.7597100000000003,gpt-4.1
2026-03-01,cust_10,pro,api,32,30386,27215,57601,34303,1.51709,gpt-4.1
2026-03-01,cust_10,pro_plus,api,56,59573,38364,97937,59542,3.4344799999999998,gpt-4.1
2026-03-01,cust_01,free,api,34,30380,21480,51860,34514,1.18052,gpt-4.1
2026-03-01,cust_01,pro,api,31,34986,25828,60814,29715,1.47607,gpt-4.1
2026-03-01,cust_01,pro_plus,api,38,41337,28004,69341,40859,1.8800500000000002,gpt-4.1
2026-03-01,cust_02,free,api,36,40957,25561,66518,31236,1.46549,gpt-4.1
2026-03-01,cust_02,pro,api,41,44855,32533,77388,36183,2.4130000000000003,gpt-4.1
2026-03-01,cust_02,pro_plus,api,36,35056,30236,65292,37665,1.4365700000000001,gpt-4.1
2026-03-01,cust_03,free,api,32,36170,27580,63750,33648,1.74406,gpt-4.1
2026-03-01,cust_03,pro,api,31,34658,27459,62117,33069,2.11756,gpt-4.1
2026-03-01,cust_03,pro_plus,api,42,49085,25565,74650,42737,1.98585,gpt-4.1
2026-03-01,cust_04,free,api,29,29689,23383,53072,28897,1.7049,gpt-4.1
2026-03-01,cust_04,pro,api,36,32355,28323,60678,32362,2.02505,gpt-4.1
2026-03-01,cust_04,pro_plus,api,28,25904,25332,51236,26994,1.0848200000000001,gpt-4.1
2026-03-01,cust_05,free,api,31,34743,25523,60266,34664,1.9610100000000001,gpt-4.1
2026-03-01,cust_05,pro,api,45,50821,34496,85317,46261,1.9674299999999998,gpt-4.1
2026-03-01,cust_05,pro_plus,api,33,36430,23818,60248,36609,2.3752299999999997,gpt-4.1
2026-03-01,cust_06,free,api,29,26461,25636,52097,24605,1.8796,gpt-4.1
2026-03-01,cust_06,pro,api,26,28614,21404,50018,31435,1.33395,gpt-4.1
2026-03-01,cust_06,pro_plus,api,36,40325,28347,68672,39085,2.0247,gpt-4.1
2026-03-01,cust_07,free,api,41,38610,34075,72685,41202,2.18852,gpt-4.1
2026-03-01,cust_07,pro,api,35,41264,22258,63522,39311,1.5681800000000001,gpt-4.1
2026-03-01,cust_07,pro_plus,api,25,20016,23143,43159,24280,1.47032,gpt-4.1
2026-03-01,cust_08,free,api,45,47185,40002,87187,44216,2.57217,gpt-4.1
2026-03-01,cust_08,pro,api,31,30165,22319,52484,37482,0.8860399999999999,gpt-4.1
2026-03-01,cust_08,pro_plus,api,34,29376,28502,57878,35202,1.7976900000000002,gpt-4.1
2026-03-01,cust_09,free,api,33,31288,26514,57802,33961,1.3266,gpt-4.1
2026-03-01,cust_09,pro,api,28,25637,21349,46986,26052,1.72279,gpt-4.1
2026-03-01,cust_09,pro_plus,api,43,44240,31074,75314,41940,1.95595,gpt-4.1
2026-03-01,cust_10,free,api,28,23613,17783,41396,26251,1.7597100000000003,gpt-4.1
2026-03-01,cust_10,pro,api,36,33297,30169,63466,39861,1.83712,gpt-4.1
2026-03-01,cust_10,pro_plus,api,57,61233,38648,99881,61328,3.45392,gpt-4.1
